submission_id,zip,age,gender,cups,cups_num,home_brew,party
oAVLax,97206,35-44 years old,Male,2,2,"Pour over, Espresso, Other",Democrat
VZ1OXg,2144,25-34 years old,Female,2,2,Other,Democrat
WApVdv,10038,25-34 years old,Male,2,2,"Espresso, Pour over",Democrat
aBrqXB,98028,25-34 years old,Female,1,1,"Pour over, French press",NA
EPb7rr,21030,18-24 years old,Female,2,2,"Pour over, Espresso",Republican
NAB1gO,37871,25-34 years old,Male,2,2,Pour over,No affiliation
XeBPkY,92346,18-24 years old,Male,3,3,"Espresso, Coffee brewing machine (e.g. Mr. Coffee)",Independent
vNx5Wg,97224,35-44 years old,NA,2,2,"Pour over, Other",NA
LdMLOy,11230,35-44 years old,Female,1,1,Pour over,Democrat
aBrqa2,80602,25-34 years old,Male,2,2,"Pour over, Espresso",Independent
WApVXN,92677,18-24 years old,Male,2,2,"Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)",Democrat
OABMeg,38103,35-44 years old,Male,3,3,"Espresso, Pour over",Democrat
NAB1xl,98405,35-44 years old,Male,2,2,"Coffee brewing machine (e.g. Mr. Coffee), Cold brew, Espresso",Democrat
dY2ekV,20904,55-64 years old,Female,2,2,Pod/capsule machine (e.g. Keurig/Nespresso),Democrat
LdMLBv,13090,25-34 years old,Female,2,2,Coffee brewing machine (e.g. Mr. Coffee),Democrat
Albe0e,2148,25-34 years old,Female,1,1,Other,No affiliation
eBxW8e,21114,35-44 years old,Male,2,2,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)",Independent
8dp4V5,53183,35-44 years old,Male,2,2,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",No affiliation
1r2ozp,21204,18-24 years old,Male,2,2,"Pour over, Espresso",Independent
QABl4Y,32804,18-24 years old,Female,1,1,Pour over,No affiliation
DVv6EZ,48439,45-54 years old,Female,2,2,"Espresso, Pour over",NA
J2kvxR,99208,25-34 years old,Male,3,3,"Pod/capsule machine (e.g. Keurig/Nespresso), Other",No affiliation
eBxWGe,32804,18-24 years old,Male,1,1,Pour over,Democrat
DVv6Wl,20715,25-34 years old,Male,2,2,Pour over,Independent
QABlyG,7405,25-34 years old,Male,Less than 1,0,"Pour over, French press",Democrat
pLPp58,78757,35-44 years old,Male,3,3,Pour over,No affiliation
VZ1Oqj,20715,25-34 years old,Female,1,1,Pour over,Independent
