submission_id,zip,age,gender,cups,cups_num,home_brew,party
gMR29l,NA,18-24 years old,NA,NA,NA,NA,NA
BkPN0e,NA,25-34 years old,NA,NA,NA,Pod/capsule machine (e.g. Keurig/Nespresso),NA
W5G8jj,NA,25-34 years old,NA,NA,NA,Bean-to-cup machine,NA
4xWgGr,NA,35-44 years old,NA,NA,NA,Coffee brewing machine (e.g. Mr. Coffee),NA
QD27Q8,NA,25-34 years old,NA,NA,NA,Pour over,NA
V0LPeM,NA,55-64 years old,NA,NA,NA,"Pod/capsule machine (e.g. Keurig/Nespresso), Espresso, French press",NA
V0Gaxg,10023,18-24 years old,NA,NA,NA,"Pour over, French press, Espresso, Instant coffee, Pod/capsule machine (e.g. Keurig/Nespresso)",NA
AdzRL0,NA,NA,NA,NA,NA,NA,NA
EXQLWN,NA,NA,NA,NA,NA,NA,NA
xpa2K9,NA,NA,NA,NA,NA,NA,NA
V00RoJ,NA,NA,NA,NA,NA,NA,NA
7WWB4A,12345,<18 years old,NA,2,2,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Espresso, Bean-to-cup machine",NA
pKL8aB,NA,25-34 years old,NA,1,1,NA,NA
Zd694B,12345,<18 years old,Other (please specify),3,3,"Pour over, Espresso, Instant coffee",Democrat
QAeYZY,99999,>65 years old,NA,3,3,NA,NA
QA5JYA,10025,25-34 years old,Female,1,1,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)",Democrat
Rz5BPj,1930,25-34 years old,NA,2,2,NA,NA
jyDqva,2312,18-24 years old,NA,2,2,NA,NA
eB7QoJ,12345,18-24 years old,NA,3,3,Pour over,NA
24xzlg,11221,18-24 years old,NA,NA,NA,Other,NA
DVvoqX,11201,35-44 years old,NA,NA,NA,Espresso,NA
1r2YJQ,73044,25-34 years old,NA,More than 4,5,Coffee extract (e.g. Cometeer),NA
24xYOV,8094,45-54 years old,NA,1,1,Pour over,NA
AlbYao,85225,18-24 years old,NA,2,2,"Pod/capsule machine (e.g. Keurig/Nespresso), French press",NA
J2krYz,94107,35-44 years old,NA,1,1,"Pour over, Espresso",NA
WAp6ak,NA,NA,NA,NA,NA,NA,NA
aBr18q,NA,25-34 years old,NA,3,3,NA,NA
42NYWO,NA,18-24 years old,NA,NA,NA,NA,NA
6dQ08e,75707,25-34 years old,NA,1,1,"Espresso, Cold brew, Pour over",NA
J2kj9J,110034,18-24 years old,NA,2,2,"French press, Cold brew",NA
8dpDNA,61761,18-24 years old,NA,3,3,"Pour over, Espresso",NA
EPbVlL,94306,<18 years old,NA,NA,NA,Pour over,NA
vNx6A4,61600,18-24 years old,NA,NA,NA,NA,NA
KMB2og,NA,NA,NA,NA,NA,NA,NA
qbEQPO,61600,18-24 years old,NA,3,3,"Pour over, Cold brew, Other",NA
9dJ0O5,H1032,25-34 years old,NA,2,2,"French press, Pod/capsule machine (e.g. Keurig/Nespresso), Other",NA
BGboZR,92008,18-24 years old,NA,3,3,"Pour over, French press, Espresso, Other, Cold brew, Coffee brewing machine (e.g. Mr. Coffee)",NA
oAVNdO,48109,>65 years old,NA,1,1,Pod/capsule machine (e.g. Keurig/Nespresso),NA
YZzBdN,505415,25-34 years old,Male,2,2,"Pour over, Espresso",Independent
VZ17Z6,38138,35-44 years old,Male,1,1,Pour over,No affiliation
RzBeZj,60538,45-54 years old,Male,More than 4,5,"Pour over, French press, Pod/capsule machine (e.g. Keurig/Nespresso)",No affiliation
0Ej0GZ,560078,35-44 years old,NA,1,1,"Pour over, Espresso, Other",NA
eBxO4l,NA,NA,NA,2,2,NA,NA
WApbkQ,90210,35-44 years old,Male,2,2,"Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)",Independent
0Ej0WA,27613,45-54 years old,Male,2,2,"Coffee extract (e.g. Cometeer), Pour over",Republican
9dJYlQ,87109,35-44 years old,Male,2,2,Other,Democrat
BGbJzQ,15317,35-44 years old,NA,1,1,"Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)",NA
OABqpR,90036,25-34 years old,NA,1,1,French press,NA
bl41Zg,34322,45-54 years old,Male,Less than 1,0,NA,Democrat
GrBVrk,98498,25-34 years old,NA,1,1,NA,NA
WApbYk,37377,35-44 years old,Female,1,1,Other,No affiliation
24x9NA,93536,25-34 years old,NA,2,2,"Pour over, Instant coffee, Cold brew",NA
NAB2qB,46224,25-34 years old,Male,2,2,Espresso,Democrat
RzBqoJ,94611,35-44 years old,Male,2,2,"Espresso, Cold brew, Pour over",Democrat
LdMxB2,NA,35-44 years old,NA,2,2,"Espresso, Cold brew",NA
GrBOrz,92833,25-34 years old,NA,NA,NA,NA,NA
5dqajd,22201,25-34 years old,Male,More than 4,5,Other,Democrat
VZ1W0E,7090,35-44 years old,Male,More than 4,5,"Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew, French press, Pour over, Coffee brewing machine (e.g. Mr. Coffee)",No affiliation
NABN5G,98405,45-54 years old,Female,More than 4,5,"Pod/capsule machine (e.g. Keurig/Nespresso), Other",NA
6dQY8o,2169,25-34 years old,Male,2,2,"Pour over, Espresso",Democrat
WAp6va,27040,45-54 years old,Male,More than 4,5,"Espresso, Bean-to-cup machine, Pour over",Independent
EPbVGA,40507,25-34 years old,NA,NA,NA,"Coffee brewing machine (e.g. Mr. Coffee), Cold brew",NA
OABqQp,29407,35-44 years old,Male,2,2,NA,No affiliation
DVvOop,40503,35-44 years old,NA,2,2,Espresso,NA
KMBrLz,eh221dh,25-34 years old,NA,3,3,"Pour over, French press, Espresso, Cold brew",NA
jB9r21,97140,25-34 years old,Male,1,1,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",Democrat
pLPYLE,60657,25-34 years old,Male,2,2,NA,Democrat
oAV8yX,65201,35-44 years old,NA,2,2,Espresso,NA
aBrp0W,14456,18-24 years old,NA,4,4,"Coffee brewing machine (e.g. Mr. Coffee), Cold brew",NA
g5NPxK,97217,25-34 years old,Male,2,2,"Espresso, Pour over",NA
GrBO1z,1774,45-54 years old,Male,2,2,"Pour over, French press",Democrat
xdN8Q9,16827,25-34 years old,Male,2,2,"Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",Independent
vNx8Xv,11355,35-44 years old,Female,1,1,French press,Democrat
dY2JPN,22201,18-24 years old,Male,2,2,Pour over,NA
MAdjLE,2093,35-44 years old,Male,2,2,"Espresso, Pour over",Democrat
6dQ6xo,32819,25-34 years old,Male,3,3,"Espresso, Pour over",Democrat
7d97lZ,2467,25-34 years old,Female,2,2,Coffee extract (e.g. Cometeer),Democrat
0EjqPQ,15116,25-34 years old,Male,3,3,Pour over,No affiliation
BGbJD4,85202,25-34 years old,Male,1,1,NA,Democrat
9dJYbp,46637,25-34 years old,Male,3,3,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",No affiliation
xdNbJ9,98052,25-34 years old,Male,1,1,Espresso,Democrat
EPbVLl,89074,45-54 years old,NA,2,2,Pod/capsule machine (e.g. Keurig/Nespresso),NA
pLPNQJ,19146,35-44 years old,Female,1,1,Pour over,No affiliation
AlbMLW,98102,25-34 years old,Male,2,2,"Pour over, Other",Independent
EPboPq,60187,25-34 years old,Male,3,3,"Pour over, Cold brew",No affiliation
ylq8yW,80202,25-34 years old,Male,3,3,"Espresso, Coffee brewing machine (e.g. Mr. Coffee)",Democrat
J2kEDz,2493,45-54 years old,Male,1,1,"Espresso, Pour over, Coffee brewing machine (e.g. Mr. Coffee)",Independent
24x9Lg,2169,25-34 years old,Male,2,2,Pour over,No affiliation
0EjYb6,15216,35-44 years old,Male,3,3,"Pour over, Espresso",Independent
ZdRb6a,80205,25-34 years old,Male,2,2,"Espresso, Pour over",Independent
WApbdP,37377,25-34 years old,Male,3,3,Other,Democrat
24xY69,97401,18-24 years old,Male,2,2,"French press, Cold brew",No affiliation
RzBqWd,20879,25-34 years old,Male,1,1,Pour over,NA
RzBqLv,94591,25-34 years old,Male,More than 4,5,"Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",No affiliation
oAV8d5,55106,35-44 years old,Male,3,3,French press,Democrat
oAV8OM,78132,25-34 years old,Male,2,2,"Pour over, Espresso, Cold brew",Independent
AlbYyW,63119,25-34 years old,Male,1,1,NA,Democrat
KMB4kk,2215,25-34 years old,Female,1,1,"Cold brew, Coffee extract (e.g. Cometeer), Pod/capsule machine (e.g. Keurig/Nespresso), Other",Democrat
42N0Kd,85226,18-24 years old,Male,2,2,"French press, Pod/capsule machine (e.g. Keurig/Nespresso)",Independent
0Ej0VZ,3820,25-34 years old,Female,1,1,"French press, Cold brew",Democrat
rlrQQo,90048,35-44 years old,Female,1,1,Instant coffee,Democrat
vNx84X,46202,35-44 years old,Male,2,2,Espresso,Democrat
MAd2V0,84105,25-34 years old,Male,1,1,Coffee brewing machine (e.g. Mr. Coffee),No affiliation
8dpbGk,90049,25-34 years old,Male,2,2,"Pour over, Espresso, French press",Democrat
zKQ8ja,94043,25-34 years old,Male,1,1,Espresso,NA
YZzBLJ,44139,35-44 years old,Female,1,1,Cold brew,Democrat
QABNdl,97209,25-34 years old,Male,3,3,"Pour over, French press, Espresso",NA
8dpbko,80228,25-34 years old,Male,2,2,Espresso,Independent
XeB6Ee,10001,25-34 years old,Male,4,4,Bean-to-cup machine,Democrat
KMBroK,11768,25-34 years old,Female,Less than 1,0,Pour over,No affiliation
24x9rg,19146,35-44 years old,Male,1,1,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)",No affiliation
dY2JjD,92870,25-34 years old,Male,2,2,"Pour over, Espresso",Democrat
LdMjyz,84043,18-24 years old,Male,1,1,"Pour over, Coffee extract (e.g. Cometeer)",No affiliation
9dJYM1,75002,55-64 years old,Male,4,4,"Espresso, French press, Pour over",Republican
kYR4rj,85295,25-34 years old,Male,2,2,"Espresso, Pour over, French press",Republican
pLPN7q,2145,35-44 years old,Male,1,1,"Pour over, Espresso, French press, Cold brew, Other",Democrat
6dQ0eO,11201,25-34 years old,Male,Less than 1,0,"Espresso, Cold brew",Democrat
42NlLd,28803,25-34 years old,Male,2,2,Coffee brewing machine (e.g. Mr. Coffee),Independent
LdMxaj,80005,25-34 years old,Male,2,2,"Pour over, Other",Independent
BGbJZ4,60025,35-44 years old,Male,2,2,"Bean-to-cup machine, Pour over",No affiliation
J2kER7,98107,55-64 years old,Male,2,2,"French press, Coffee brewing machine (e.g. Mr. Coffee), Other",Independent
eBxgQO,94043,25-34 years old,Male,Less than 1,0,NA,Democrat
J2kELz,91040,25-34 years old,Non-binary,2,2,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee), Instant coffee, Cold brew",No affiliation
LdMjqJ,20011,35-44 years old,Male,More than 4,5,NA,Democrat
oAVNeM,30316,45-54 years old,Male,3,3,Coffee brewing machine (e.g. Mr. Coffee),Democrat
oAVZ95,7016,35-44 years old,Male,2,2,"Pour over, Espresso, Cold brew",Democrat
eBxGvE,7306,25-34 years old,Non-binary,More than 4,5,"Pour over, Espresso, French press, Other",No affiliation
xdNbxo,30316,45-54 years old,Female,2,2,Coffee brewing machine (e.g. Mr. Coffee),Democrat
zKQ8ZZ,98208,35-44 years old,Male,3,3,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee), French press",Democrat
rlrQxl,35630,25-34 years old,Prefer not to say,2,2,"Pour over, French press",NA
VZ1W8N,74012,25-34 years old,NA,2,2,"Espresso, Coffee brewing machine (e.g. Mr. Coffee), French press, Pour over",NA
WAp6PN,77004,25-34 years old,Male,2,2,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Espresso",No affiliation
DVvo9l,68134,25-34 years old,Male,3,3,"French press, Espresso, Cold brew",Democrat
ylqAdB,93455,>65 years old,Male,More than 4,5,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)",Republican
rlrQP2,94306,25-34 years old,NA,3,3,Pour over,NA
EPbo0L,91016,35-44 years old,Male,More than 4,5,"Pour over, Cold brew, Other",No affiliation
ylqAY6,80231,25-34 years old,Male,1,1,French press,Democrat
AlbR7B,27604,25-34 years old,Male,3,3,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)",Republican
EPbVxA,90039,18-24 years old,Female,Less than 1,0,"Espresso, Cold brew",Independent
BGboo4,90039,25-34 years old,Male,2,2,"Pour over, Espresso, Cold brew",No affiliation
dY2GGD,80234,25-34 years old,Female,Less than 1,0,NA,Republican
oAV8o5,2445,25-34 years old,Female,2,2,"Pour over, Espresso, Bean-to-cup machine",Democrat
WApa9N,90036,18-24 years old,Male,Less than 1,0,NA,Democrat
BGbJE5,80234,25-34 years old,Male,Less than 1,0,NA,Democrat
0EjzA9,19007,35-44 years old,Male,2,2,"French press, Pour over, Espresso",Democrat
vNx6YX,80231,25-34 years old,Female,2,2,French press,No affiliation
WApaAQ,30144,25-34 years old,Male,2,2,"Pour over, French press, Espresso, Other",No affiliation
J2krZX,70806,25-34 years old,Male,3,3,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)",Democrat
oAVN6V,94134,35-44 years old,Male,2,2,Pour over,Democrat
VZ1WVN,15206,25-34 years old,Male,Less than 1,0,Pour over,Independent
42Nlko,20124,25-34 years old,Male,2,2,"Pour over, Espresso",No affiliation
RzBq4P,89148,35-44 years old,Male,Less than 1,0,"Espresso, Coffee brewing machine (e.g. Mr. Coffee), Other",Democrat
1r2QM4,78133,25-34 years old,Male,1,1,"Pour over, Espresso, Cold brew",No affiliation
LdM4d2,94582,25-34 years old,Female,2,2,NA,Democrat
42N0dB,85203,35-44 years old,Male,3,3,NA,Democrat
jB98M9,78705,25-34 years old,Male,2,2,Pour over,Democrat
1r205O,94134,35-44 years old,Female,1,1,Pour over,Democrat
5dq0yE,84081,35-44 years old,Male,3,3,"Espresso, Other",No affiliation
YZzb4N,64138,25-34 years old,Male,1,1,Coffee brewing machine (e.g. Mr. Coffee),No affiliation
QABq7Y,60540,35-44 years old,Male,1,1,"Pour over, Espresso, Cold brew",Democrat
PABQDd,60148,25-34 years old,Male,1,1,Pour over,Democrat
9dJY7E,1432,25-34 years old,Male,2,2,Other,Democrat
24xYgM,80013,18-24 years old,Male,1,1,Pour over,Democrat
KMB25K,60189,25-34 years old,Male,2,2,Pour over,No affiliation
RzBqzP,94041,35-44 years old,NA,2,2,Pour over,NA
GrBEvo,14450,25-34 years old,Male,3,3,"Pour over, Espresso",Democrat
rlrQrv,95128,25-34 years old,Female,2,2,Pour over,Democrat
LdMxpz,80014,25-34 years old,Male,2,2,Other,Democrat
ZdRblA,78729,25-34 years old,Male,2,2,"Espresso, Cold brew",NA
bl4My7,94611,25-34 years old,Male,3,3,Pour over,No affiliation
XeB72d,98055,18-24 years old,Male,1,1,"Pour over, Espresso",No affiliation
zKQBXq,94063,25-34 years old,Male,2,2,"Pour over, Espresso, Instant coffee",No affiliation
rlr9Yv,76137,18-24 years old,Male,2,2,"Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso)",Democrat
dY2GNy,95616,25-34 years old,Female,1,1,"Pour over, French press, Instant coffee, Other",Democrat
zKQA18,95834,18-24 years old,Non-binary,Less than 1,0,"Other, Bean-to-cup machine, Cold brew",Democrat
ZdRAAV,29609,35-44 years old,Male,3,3,"Pour over, Espresso, Pod/capsule machine (e.g. Keurig/Nespresso), Instant coffee, Coffee extract (e.g. Cometeer), Other",Democrat
VZ17Ev,30312,25-34 years old,Female,1,1,Pour over,Democrat
NAB2Ab,98121,25-34 years old,Male,3,3,"Pour over, Espresso, Instant coffee",No affiliation
rlr9yM,95051,25-34 years old,Male,3,3,"Pour over, Espresso, Cold brew",Democrat
5dqYbv,10128,35-44 years old,Male,3,3,"Pour over, Espresso",Democrat
AlbRKW,11217,35-44 years old,Male,1,1,"Pour over, Espresso",Democrat
ylqb6X,80138,25-34 years old,Male,2,2,"Pour over, Espresso, Cold brew",Democrat
dY2o6d,92620,25-34 years old,NA,1,1,Coffee brewing machine (e.g. Mr. Coffee),NA
oAVN61,94063,25-34 years old,Male,2,2,"French press, Espresso",Democrat
rlr9yv,98248,35-44 years old,Male,3,3,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee)",Independent
kYR4Nr,90670,18-24 years old,Male,2,2,"Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",Democrat
RzBeoP,27545,<18 years old,Male,2,2,Pour over,No affiliation
24xYJL,85281,18-24 years old,Male,1,1,Other,Democrat
ZdRAWA,68801,45-54 years old,Male,4,4,Espresso,Republican
rlr9OL,48322,25-34 years old,Male,2,2,"French press, Espresso, Cold brew",Independent
PABQdQ,48322,55-64 years old,Female,4,4,"Espresso, Coffee brewing machine (e.g. Mr. Coffee), Other",NA
1r20NQ,10009,25-34 years old,Male,3,3,"Pour over, Espresso, Other",Democrat
qbEqj2,98103,35-44 years old,Male,2,2,"French press, Other",Democrat
g5NV9P,68524,35-44 years old,Male,2,2,"Espresso, Coffee brewing machine (e.g. Mr. Coffee), Pour over",Independent
42NY8Y,20901,25-34 years old,Male,1,1,"Pour over, Other",Independent
GrBVJp,98103,35-44 years old,Female,1,1,French press,Democrat
lNl8WV,32771,18-24 years old,Female,1,1,NA,Democrat
vNxaEA,21403,45-54 years old,Male,2,2,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)",Democrat
0EjY5P,6511,25-34 years old,Male,1,1,Pour over,Democrat
eBxO5q,90036,18-24 years old,Non-binary,Less than 1,0,French press,Democrat
blx47Z,10003,18-24 years old,NA,2,2,"Pour over, Coffee extract (e.g. Cometeer), Cold brew",NA
lNlXyB,80227,45-54 years old,Female,1,1,NA,Independent
1r20WM,30082,35-44 years old,Male,1,1,"Espresso, Pour over, Other",NA
J2krad,92092,25-34 years old,Male,2,2,"Pour over, Espresso, French press, Cold brew",Democrat
DVvo05,97504,18-24 years old,Male,2,2,Pour over,No affiliation
VZ1aJj,19147,25-34 years old,Male,1,1,Espresso,Democrat
42N0ab,93117,45-54 years old,NA,1,1,Pour over,NA
aBrJxZ,6413,35-44 years old,Male,1,1,French press,Democrat
9dJ0qG,61334,25-34 years old,Male,1,1,Pour over,Democrat
PABN1x,75208,25-34 years old,Male,3,3,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",Democrat
8dpDDk,62223,25-34 years old,Male,1,1,Pour over,NA
qA2y0O,12345,18-24 years old,NA,2,2,"Pour over, Espresso, Instant coffee",NA
V0ELg6,19002,25-34 years old,NA,NA,NA,Pod/capsule machine (e.g. Keurig/Nespresso),NA
zKQ8Qg,NA,35-44 years old,NA,3,3,"Pour over, Espresso",NA
VZ1WYN,22204,25-34 years old,Male,2,2,Pour over,Democrat
jB98W1,W68nr,45-54 years old,NA,2,2,"Pour over, Espresso",NA
24x9Rj,NA,18-24 years old,NA,NA,NA,NA,NA
rlr82o,78723,25-34 years old,NA,3,3,"Pour over, Cold brew",NA
QABNj7,7306,25-34 years old,NA,2,2,NA,NA
vNx8El,98075,35-44 years old,NA,3,3,"Pour over, Espresso",NA
jB98WY,46750,25-34 years old,Female,2,2,"Pour over, Espresso",No affiliation
LdM4Op,94158,25-34 years old,NA,2,2,"Pour over, Espresso",NA
qbE8gG,43229,25-34 years old,NA,1,1,NA,NA
bl41zZ,11216,18-24 years old,NA,1,1,Pour over,NA
xdN8yk,46201,25-34 years old,Male,More than 4,5,"Pour over, Espresso",Democrat
rlr8LX,75052,45-54 years old,Male,1,1,"Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew",Independent
jB98ga,NA,25-34 years old,NA,1,1,Pod/capsule machine (e.g. Keurig/Nespresso),NA
pLPY01,90036,45-54 years old,NA,2,2,Coffee brewing machine (e.g. Mr. Coffee),NA
GrBODO,43081,>65 years old,Female,More than 4,5,Bean-to-cup machine,Democrat
7d97a0,97214,25-34 years old,Male,1,1,Pour over,Democrat
WApale,92570,45-54 years old,Male,1,1,Bean-to-cup machine,Democrat
0EjqlN,NA,35-44 years old,NA,NA,NA,Coffee brewing machine (e.g. Mr. Coffee),NA
oAV8dN,84108,25-34 years old,Male,2,2,Pour over,Democrat
0Ejqaj,94709,25-34 years old,NA,2,2,Pour over,NA
5dqaeZ,38865,25-34 years old,Male,3,3,"Pour over, Espresso",No affiliation
g5N8v4,8840,35-44 years old,Male,2,2,"Espresso, Coffee brewing machine (e.g. Mr. Coffee)",NA
oAV8lb,90250,35-44 years old,Male,1,1,"Pour over, French press, Cold brew",Democrat
AlbMyz,20814,55-64 years old,NA,2,2,Coffee brewing machine (e.g. Mr. Coffee),NA
jB9871,8012,45-54 years old,Male,2,2,Pour over,Democrat
9dJA2E,28723,18-24 years old,Male,1,1,Coffee brewing machine (e.g. Mr. Coffee),Democrat
PABZBx,44134,25-34 years old,Male,1,1,"Pour over, French press",Republican
DVvRWR,11206,25-34 years old,Male,1,1,"Espresso, Pour over",Independent
dY2JDV,60647,25-34 years old,Male,4,4,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso), Instant coffee",No affiliation
bl41Y1,2532,25-34 years old,Male,1,1,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso)",Democrat
rlr8vR,55104,25-34 years old,Male,2,2,"Espresso, Pour over, Cold brew",Democrat
xdN89d,75081,45-54 years old,Male,3,3,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso), French press",No affiliation
kYR8Jo,6517,35-44 years old,Male,2,2,"Pour over, Espresso",Democrat
YZz7xW,30328,25-34 years old,Male,1,1,"Coffee extract (e.g. Cometeer), Pour over, French press",Democrat
RzBq29,98119,35-44 years old,NA,1,1,Pour over,NA
24x9DD,55413,35-44 years old,NA,2,2,"Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Coffee extract (e.g. Cometeer), Cold brew",NA
rlr8k2,45005,35-44 years old,Male,1,1,"Pour over, Espresso",No affiliation
7d97ER,2139,25-34 years old,Male,1,1,Other,NA
GrBOBO,21076,25-34 years old,Male,2,2,"Espresso, Coffee brewing machine (e.g. Mr. Coffee)",No affiliation
42NlPr,25918,25-34 years old,Male,3,3,"Pour over, French press, Cold brew, Other",Independent
XeB6OP,28278,25-34 years old,Female,1,1,Espresso,Democrat
VZ1W4y,43222,25-34 years old,Male,More than 4,5,"Espresso, Pour over",Democrat
kYR8ve,55403,25-34 years old,Male,2,2,Pour over,Democrat
YZz7oN,15203,35-44 years old,Male,2,2,"Pour over, Espresso",Democrat
OABxYM,37080,25-34 years old,Male,2,2,"Pour over, French press, Pod/capsule machine (e.g. Keurig/Nespresso)",Independent
xdN8lv,20732,18-24 years old,Male,1,1,NA,No affiliation
eBxgYk,80121,25-34 years old,Male,1,1,Espresso,Democrat
RzBqj9,8205,25-34 years old,Female,2,2,"Pour over, Cold brew, Coffee brewing machine (e.g. Mr. Coffee)",No affiliation
1r2QGg,80207,35-44 years old,Male,2,2,"Pour over, Espresso, French press",NA
pLPYZJ,95125,45-54 years old,NA,2,2,Pour over,NA
MAdj6k,83709,18-24 years old,Male,3,3,"Pour over, Espresso",Democrat
OABxER,85253,18-24 years old,Male,1,1,Pour over,Democrat
qbE8jO,92117,45-54 years old,Male,More than 4,5,Pour over,No affiliation
kYR8ze,90260,>65 years old,Male,1,1,NA,Democrat
GrBODQ,78729,45-54 years old,Male,More than 4,5,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee)",Democrat
vNx8KD,15201,35-44 years old,Male,2,2,"Pour over, Cold brew, Other",No affiliation
oAV8VN,97202,35-44 years old,Male,1,1,"Pour over, Cold brew, Coffee brewing machine (e.g. Mr. Coffee), Espresso",Democrat
VZ1Wxg,33647,35-44 years old,Male,2,2,Pour over,Independent
24x9Oe,27609,25-34 years old,Male,2,2,"Pour over, Espresso, Cold brew",Independent
KMBrO8,Y,55-64 years old,Male,1,1,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",Democrat
WApa1v,33328,18-24 years old,Male,1,1,"Pour over, Other",Independent
bl41gL,60657,25-34 years old,Female,1,1,Pod/capsule machine (e.g. Keurig/Nespresso),Democrat
ylq8e8,15203,55-64 years old,Female,3,3,Pour over,Democrat
24x9ZL,22305,35-44 years old,Male,2,2,"Coffee extract (e.g. Cometeer), Espresso",Republican
MAdjGM,40228,35-44 years old,Male,2,2,Pour over,Democrat
24x9Zj,20001,35-44 years old,Male,1,1,Other,Democrat
rlr8kR,60657,25-34 years old,Female,2,2,"Coffee brewing machine (e.g. Mr. Coffee), Cold brew",Democrat
g5N8pl,93105,25-34 years old,Male,2,2,Pour over,NA
rlr8qN,74135,55-64 years old,Male,3,3,NA,NA
ylq87g,55901,25-34 years old,Male,1,1,Pour over,No affiliation
GrBO7Z,75082,35-44 years old,Male,3,3,"Espresso, Pour over, Coffee brewing machine (e.g. Mr. Coffee)",Democrat
NAB2Rj,19122,35-44 years old,Male,1,1,"Espresso, Pour over, Cold brew",Democrat
RzBqkj,33317,35-44 years old,Male,2,2,"Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",Democrat
xdN86r,92805,18-24 years old,Male,1,1,Pour over,No affiliation
9dJArQ,90031,25-34 years old,Female,1,1,NA,Independent
EPboa4,97201,35-44 years old,Female,2,2,Pour over,NA
WApaQN,27519,18-24 years old,Female,1,1,NA,NA
42NlN5,45701,35-44 years old,Female,1,1,"French press, Other",Independent
AlbM50,2458,25-34 years old,Male,2,2,French press,Democrat
QABNap,1930,35-44 years old,Male,2,2,Coffee extract (e.g. Cometeer),Independent
dY2Jkd,75052,45-54 years old,Female,1,1,Cold brew,Independent
RzBqr9,8852,18-24 years old,Male,1,1,"Pour over, Espresso, Cold brew",NA
lNl89W,10016,18-24 years old,Female,3,3,NA,Republican
RzBqjj,85016,25-34 years old,Male,1,1,"Pour over, French press, Pod/capsule machine (e.g. Keurig/Nespresso)",Democrat
LdM4ov,47906,25-34 years old,Male,1,1,"Pour over, Espresso, Other",Democrat
GrBO5k,8852,55-64 years old,Male,2,2,"Pour over, Other",No affiliation
ZdRbWo,84043,25-34 years old,Female,2,2,Coffee brewing machine (e.g. Mr. Coffee),Independent
AlbMQD,95842,25-34 years old,Female,1,1,"Pour over, Cold brew",Democrat
42NlqX,98383,45-54 years old,Male,1,1,Espresso,Independent
24x9D9,66049,35-44 years old,Female,3,3,Coffee brewing machine (e.g. Mr. Coffee),Democrat
QABNE7,2114,25-34 years old,Male,More than 4,5,Coffee extract (e.g. Cometeer),No affiliation
6dQ6QN,28278,25-34 years old,Male,2,2,Other,Independent
KMBrkV,77340,25-34 years old,Male,1,1,Espresso,Democrat
g5N8NJ,55128,25-34 years old,Female,2,2,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",No affiliation
aBrpab,92021,25-34 years old,Non-binary,Less than 1,0,NA,Democrat
OABxVR,32702,55-64 years old,NA,4,4,"Espresso, Pour over",NA
aBrpPq,2474,35-44 years old,NA,1,1,Espresso,NA
bl41vZ,28104,55-64 years old,Female,2,2,Coffee brewing machine (e.g. Mr. Coffee),NA
oAV8kO,80127,>65 years old,NA,2,2,Pod/capsule machine (e.g. Keurig/Nespresso),NA
qbE8NG,95125,25-34 years old,Male,2,2,"Espresso, Pour over",Democrat
eBxgoe,84102,25-34 years old,Male,2,2,"Pour over, Cold brew",Democrat
aBrpkB,2135,25-34 years old,Female,2,2,Other,Democrat
vNx8g0,10025,25-34 years old,Male,1,1,Espresso,Democrat
NAB2Ol,80021,25-34 years old,Female,1,1,Coffee brewing machine (e.g. Mr. Coffee),Democrat
GrBObk,84060,25-34 years old,Male,2,2,Pour over,Democrat
kYR8x1,90012,25-34 years old,Female,1,1,Espresso,Democrat
